1, 47, 0.25
1, 3, 0.05
1, 6, 0.04
1, 7, 0.02
1, 33, 0.04
2, 1, 0.015
2, 13, 0.01
2, 18, 0.01
2, 55, 0.008
3, 49, 0.25
3, 32, 0.15
4, 18, 0.045
4, 19, 0.04
4, 20, 0.035
4, 21, 0.4
4, 7, 0.02
4, 3, 0.015
5, 4, 2
5, 6, 0.05
5, 59, 0.02
5, 33, 0.035
6, 27, 0.5
6, 3, 0.02
7, 55, 0.05
7, 17, 0.11
7, 35, 0.01
7, 49, 0.15
7, 37, 0.008
7, 6, 0.01
7, 7, 0.01
8, 28, 0.05
8, 50, 0.2
9, 1, 0.06
9, 4, 1
9, 31, 0.03
9, 44, 0.04
9, 62, 0.035
10, 22, 0.09
10, 7, 0.025
10, 3, 0.02
10, 38, 0.023
11, 29, 0.3
11, 58, 0.075
11, 3, 0.04
12, 13, 0.15
12, 61, 0.1
12, 12, 0.23
12, 3, 0.05
12, 47, 0.035
13, 1, 0.05
13, 4, 1
13, 60, 0.06
13, 61, 0.035
13, 59, 0.005
13, 47, 0.003
13, 48, 0.003
13, 6, 0.025
14, 1, 0.03
14, 4, 1
14, 6, 0.025
14, 30, 0.16
14, 47, 0.03
15, 14, 0.19
15, 12, 0.17
15, 6, 0.04
16, 24, 0.15
16, 3, 0.06
16, 4, 0.5
16, 38, 0.045
16, 9, 0.6
16, 51, 0.075
17, 26, 0.5
17, 56, 0.08
17, 3, 0.05
18, 14, 0.13
18, 4, 1
18, 37, 0.01
18, 12, 0.26
19, 10, 0.075
19, 3, 0.03
19, 6, 0.01
19, 68, 0.125
19, 35, 0.013
19, 47, 0.025
20, 16, 0.15
20, 3, 0.05
20, 12, 0.15
20, 54, 0.06
20, 51, 0.06
20, 35, 0.012
20, 53, 0.04
21, 52, 0.15
21, 48, 0.01
21, 36, 0.05
22, 12, 0.23
22, 15, 0.175
22, 33, 0.05
23, 69, 0.18
23, 37, 0.02
23, 38, 0.03
23, 6, 0.03
23, 12, 0.2
24, 25, 0.14
24, 3, 0.028
24, 57, 0.15
24, 12, 0.08
25, 1, 0.02
25, 3, 0.04
25, 11, 0.72
25, 51, 0.1
25, 52, 0.7
25, 47, 0.05
25, 48, 0.01
25, 49, 0.2
25, 54, 0.06
25, 2, 0.01
26, 14, 0.2
26, 3, 0.03
26, 12, 0.27
27, 17, 0.17
27, 3, 0.015
27, 9, 0.061
27, 6, 0.02
28, 23, 0.139
28, 3, 0.02
28, 1, 0.02
28, 9, 0.6
28, 52, 0.07
28, 49, 0.12
28, 51, 0.05
29, 4, 1
29, 34, 0.05
29, 5, 0.012
29, 66, 0.005
29, 67, 0.005
29, 63, 0.05
30, 1, 0.06
30, 4, 0.8
30, 5, 0.1
30, 38, 0.1
30, 3, 0.05
31, 5, 0.07
31, 4, 0.08
31, 40, 0.6
31, 41, 0.06
31, 42, 0.043
31, 43, 0.06
32, 4, 0.08
32, 5, 0.02
32, 3, 0.01
32, 65, 0.03
33, 65, 0.04
33, 1, 0.04
33, 4, 0.05
33, 5, 0.015
33, 70, 0.03
33, 8, 0.001
34, 2, 0.03
34, 6, 0.03
34, 5, 0.03
34, 39, 0.1
35, 64, 0.06
35, 3, 0.03
35, 34, 0.07
35, 5, 0.02
36, 1, 0.04
36, 3, 0.04
36, 5, 0.018
36, 45, 0.12
37, 43, 0.09
37, 1, 0.05
37, 2, 0.01
37, 3, 0.01
37, 4, 0.2
37, 5, 0.01
38, 5, 0.7
38, 3, 0.01
38, 6, 0.006
38, 10, 0.02
38, 2, 0.012
39, 46, 0.035
39, 45, 0.035
39, 41, 0.02
39, 40, 0.04
39, 39, 0.03
40, 46, 0.12
41, 6, 0.01
41, 4, 0.2
41, 1, 0.01
41, 3, 0.01
41, 5, 0.01
42, 70, 0.035
43, 71, 0.035
44, 72, 0.035
